City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,srednekolymsk,67.45,153.68,-11.52,90,99,5.5,RU,1605197956
88,hukuntsi,-24.0,21.75,86.9,24,85,13.09,BW,1605197956
89,geraldton,-28.77,114.6,62.6,72,40,4.7,AU,1605197957
90,sistranda,63.73,8.83,48.2,66,0,19.46,NO,1605197795
91,portoferraio,42.81,10.31,61.0,87,75,0.4,IT,1605197957
92,krasnoselkup,65.7,82.47,3.58,93,100,9.78,RU,1605197957
93,batagay-alyta,67.8,130.41,-7.56,87,19,1.72,RU,1605197957
94,kondopoga,62.21,34.26,33.8,100,90,4.47,RU,1605197957
95,marystown,47.17,-55.15,55.99,100,100,8.01,CA,1605197958
96,port hueneme,34.15,-119.2,50.0,46,1,5.82,US,1605197958
97,hilo,19.73,-155.09,71.6,88,90,10.29,US,1605197958
98,esna,25.29,32.55,75.2,41,0,6.93,EG,1605197958
99,inirida,3.87,-67.92,89.19,66,75,1.61,CO,1605197958
100,east london,-33.02,27.91,68.0,77,20,17.22,ZA,1605197959
101,nouadhibou,20.93,-17.03,93.2,15,100,10.29,MR,1605197959
102,tuatapere,-46.13,167.68,48.99,92,7,1.01,NZ,1605197959
103,jalu,29.03,21.55,69.51,49,0,6.64,LY,1605197959
104,miraflores,19.22,-98.81,66.2,45,5,0.81,MX,1605197959
105,bulungu,-4.55,18.6,73.69,94,100,5.53,CD,1605197959
106,langenburg,49.25,9.85,51.8,81,75,9.17,DE,1605197960
107,ducheng,23.24,111.53,61.79,54,2,1.81,CN,1605197960
108,nyimba,-14.56,30.81,80.2,53,73,3.22,ZM,1605197960
109,chokurdakh,70.63,147.92,-15.59,90,68,3.36,RU,1605197960
110,barrow,71.29,-156.79,12.2,78,90,14.99,US,1605197701
111,natal,-5.79,-35.21,87.8,58,20,17.22,BR,1605197715
112,mwingi,-0.93,38.06,69.87,85,8,4.18,KE,1605197961
113,castro,-24.79,-50.01,73.83,72,100,5.23,BR,1605197961
114,avarua,-21.21,-159.78,73.4,88,56,4.7,CK,1605197703
115,qaanaaq,77.48,-69.36,11.48,80,100,9.86,GL,1605197961
116,port macquarie,-31.43,152.92,66.99,86,98,1.99,AU,1605197709
117,ustka,54.58,16.86,45.46,79,100,12.12,PL,1605197962
118,hobart,-42.88,147.33,60.8,48,40,14.99,AU,1605197922
119,haines junction,60.75,-137.51,15.8,85,100,1.12,CA,1605197962
120,lagoa,39.05,-27.98,61.56,68,0,8.05,PT,1605197963
121,louis trichardt,-23.04,29.9,69.64,58,5,7.0,ZA,1605197963
122,pangnirtung,66.15,-65.71,10.4,60,75,9.17,CA,1605197963
123,coihaique,-45.58,-72.07,57.2,67,75,9.17,CL,1605197963
124,khatanga,71.97,102.5,-11.63,90,4,6.78,RU,1605197963
125,san patricio,28.02,-97.52,77.0,94,20,3.36,US,1605197964
126,agadir,30.42,-9.6,71.6,64,0,9.17,MA,1605197964
127,vanimo,-2.67,141.3,77.25,75,54,3.67,PG,1605197964
128,cidreira,-30.18,-50.21,73.47,75,86,6.89,BR,1605197964
129,maniitsoq,65.42,-52.9,24.69,90,100,11.16,GL,1605197964
130,ulaangom,49.98,92.07,25.93,90,91,2.1,MN,1605197964
131,balsic,14.86,120.48,78.8,88,90,11.41,PH,1605197964
132,buchanan,5.88,-10.05,86.0,74,75,5.82,LR,1605197965
133,bandarbeyla,9.49,50.81,77.14,79,44,15.77,SO,1605197965
134,pacific grove,36.62,-121.92,52.0,81,90,6.51,US,1605197965
135,veraval,20.9,70.37,78.48,48,0,2.19,IN,1605197965
136,carnarvon,-24.87,113.63,68.0,72,40,16.11,AU,1605197965
137,tasiilaq,65.61,-37.64,21.2,57,20,4.7,GL,1605197966
138,abu samrah,35.3,37.18,65.91,51,0,5.77,SY,1605197966
139,nelson bay,-32.72,152.15,68.0,88,90,12.59,AU,1605197967
140,waddan,29.16,16.14,69.33,53,64,5.46,LY,1605197968
141,pacocha,-17.58,-71.33,69.8,73,0,5.82,PE,1605197968
142,tuktoyaktuk,69.45,-133.04,3.2,77,75,10.29,CA,1605197969
143,udimskiy,61.14,45.91,30.94,98,97,6.76,RU,1605197969
144,cherskiy,68.75,161.3,3.99,95,99,9.62,RU,1605197969
145,flinders,-34.58,150.86,70.0,79,100,1.01,AU,1605197969
146,pushkino,56.02,37.87,36.0,93,75,8.95,RU,1605197740
147,dieppe,49.75,1.17,54.0,71,0,9.17,FR,1605197703
148,huaihua,27.55,109.96,56.28,72,0,2.01,CN,1605197970
149,talaya,61.38,152.75,-17.79,86,98,1.39,RU,1605197970
150,rocha,-34.48,-54.33,71.89,68,54,12.59,UY,1605197970
151,teeli,51.03,90.23,23.34,90,64,1.16,RU,1605197970
152,chuy,-33.7,-53.46,69.53,75,60,12.66,UY,1605197971
153,uhlove,44.82,33.6,47.82,66,0,5.97,UA,1605197971
154,phultala,22.7,89.52,72.05,65,0,4.72,BD,1605197971
155,poum,-20.23,164.02,75.34,79,55,15.77,NC,1605197971
156,bluff,-46.6,168.33,48.99,92,19,1.01,NZ,1605197971
157,busko-zdroj,50.47,20.72,42.01,86,100,3.0,PL,1605197971
158,henties bay,-22.12,14.28,62.01,85,8,5.28,NA,1605197972
